	src	rank	dest
184	"""511378"""	0.09428514000422096	"""CD121b	_IL1R2"""
185	"""430191"""	0.5437663343972619	"""CD288	_TLR8"""
186	"""1082539"""	0.4359941324758335	"""CD210	_IL10RA"""
187	"""1069816"""	0.08187404496081603	"""CD281	_TLR1"""
188	"""967427"""	0.8826371329818418	"""CD210	_IL10RA"""
189	"""1062748"""	0.1779373249407572	"""Bacterial_toxins"""
190	"""1044938"""	0.23585151057351336	"""ALK_family"""
191	"""949545"""	0.26838766882683485	"""CD127	_IL7R"""
192	"""516198"""	0.1614001126021093	"""CD281	_TLR1"""
193	"""2553032"""	0.299924211391945	"""ALK_family"""
194	"""1108726"""	0.049464335522774995	"""CD126	_IL6R"""
195	"""1053194"""	0.30456384827523303	"""CD284	_TLR4"""
196	"""785526"""	0.2438443329172295	"""Adhesion_molecules_of_cell_surface"""
197	"""687940"""	0.1370731056280156	"""CD288	_TLR8"""
198	"""829354"""	0.3166475699809266	"""ALK_family"""
199	"""4297222"""	0.3027918033682999	"""Bacterial_secretion_system"""
200	"""567336"""	0.2495831698952777	"""RET_family"""
201	"""579608"""	0.1072689702586892	"""CD121a	_IL1R1"""
202	"""2195"""	0.12946348851235642	"""CD181	_CXCR1"""
203	"""719367"""	0.1808280382168522	"""CD223	_LAG3"""
204	"""941487"""	0.2119528582629745	"""Bacterial_secretion_system"""
205	"""1081222"""	0.6728600446245476	"""CD206	_MRC1"""
206	"""839235"""	0.2067152720287969	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
207	"""707290"""	0.07813165445390996	"""NF-kappa_B_signaling_pathway"""
208	"""1020605"""	0.14818057951549302	"""CD223	_LAG3"""
209	"""875735"""	0.1255804815685992	"""Eukaryotes"""
210	"""1075821"""	0.4459545370771838	"""CD210	_IL10RA"""
211	"""889025"""	0.2110239837643419	"""CD129	_IL9R"""
212	"""703741"""	0.24387757451002146	"""CD127	_IL7R"""
213	"""926160"""	0.2086485950930901	"""ALK_family"""
214	"""360826"""	0.19365627594084067	"""MAPK_signaling_pathway_-_plant"""
215	"""4422456"""	0.5690298187218418	"""CD284	_TLR4"""
216	"""2472603"""	0.22027098202659395	"""CD126	_IL6R"""
217	"""811263"""	0.3538628713447731	"""ALK_family"""
218	"""1108275"""	0.1452668286754052	"""Bacterial_toxins"""
219	"""1097359"""	0.15315130423633244	"""CD288	_TLR8"""
220	"""4369121"""	0.23350027244571514	"""RET_family"""
221	"""205209"""	0.20005011856876231	"""CD284	_TLR4"""
222	"""141815"""	0.17235897755107082	"""CD281	_TLR1"""
223	"""146094"""	0.3477077629712892	"""CD210	_IL10RA"""
224	"""579331"""	1.789440956718865e-05	"""CD218b	_IL18RAP"""
225	"""685193"""	0.23100159446929094	"""CD281	_TLR1"""
226	"""1719556"""	0.27318511438985904	"""CD126	_IL6R"""
227	"""1105574"""	0.23605379340204746	"""CD284	_TLR4"""
228	"""624227"""	0.2121375834479036	"""CD281	_TLR1"""
229	"""915948"""	0.2467314744998335	"""CD127	_IL7R"""
230	"""1083194"""	0.14803416672284694	"""CD218b	_IL18RAP"""
231	"""888396"""	0.344707893327086	"""Adhesion_molecules_of_cell_surface"""
232	"""349901"""	0.5925396885493731	"""CD127	_IL7R"""
233	"""1114591"""	0.1954833917987405	"""Toll-like_receptors"""
234	"""960871"""	0.2599828393712311	"""CD284	_TLR4"""
235	"""979941"""	0.6308986238027093	"""CD129	_IL9R"""
236	"""2647328"""	0.15372453926938756	"""Bacterial_secretion_system"""
237	"""2222"""	0.13439715248689071	"""CD121b	_IL1R2"""
238	"""1033687"""	0.551918685065422	"""CD181	_CXCR1"""
239	"""1048878"""	0.11269026642852133	"""RET_family"""
240	"""810672"""	0.15141151699739555	"""CD181	_CXCR1"""
241	"""2469654"""	0.10988619054114168	"""MAPK_family"""
242	"""764838"""	0.2686863920907351	"""CD223	_LAG3"""
243	"""14159"""	0.4150246711362946	"""CD129	_IL9R"""
244	"""288283"""	0.27718028996241617	"""VEGFR_family"""
245	"""548576"""	0.04757950327034893	"""MET_family"""
246	"""973942"""	0.2938005514645223	"""CD127	_IL7R"""
247	"""1106324"""	0.2986598444778522	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
248	"""1027587"""	0.4007529663282619	"""CD284	_TLR4"""
249	"""714766"""	0.2829898020909191	"""CD288	_TLR8"""
250	"""530206"""	0.4812978749741351	"""CD181	_CXCR1"""
251	"""1105814"""	0.0944078250216761	"""Cytokines"""
252	"""4315529"""	0.20667924065081486	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
253	"""551895"""	0.12971112133833304	"""CD121a	_IL1R1"""
254	"""2714267"""	0.203723174284658	"""CD284	_TLR4"""
255	"""783224"""	0.1538856855992718	"""CD273	_PDCD1LG2"""
256	"""369064"""	0.08782467571345581	"""MET_family"""
257	"""12297"""	0.08173423094976763	"""AKT/PKB_family"""
258	"""1106545"""	0.27184553525514604	"""ALK_family"""
259	"""385507"""	0.2205795384980099	"""CD126	_IL6R"""
260	"""573976"""	0.1808421879952071	"""AKT/PKB_family"""
261	"""545299"""	0.29131084921044137	"""CD121a	_IL1R1"""
262	"""544313"""	0.1673914691649122	"""CD206	_MRC1"""
263	"""4455962"""	0.2775002807673941	"""CD283	_TLR3"""
264	"""4329788"""	0.20289288037416	"""CD223	_LAG3"""
265	"""40351"""	0.5840513154775355	"""CD210	_IL10RA"""
266	"""978664"""	0.33865583327407944	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
267	"""310003"""	0.4752823384884203	"""CD181	_CXCR1"""
268	"""1084952"""	0.10914877108418716	"""Toll-like_receptors"""
269	"""569835"""	0.2583229188656631	"""RET_family"""
270	"""585063"""	0.10116232118127408	"""CD283	_TLR3"""
271	"""1074625"""	0.2007656783833634	"""VEGFR_family"""
272	"""876170"""	0.2718858781810765	"""CD129	_IL9R"""
273	"""1052930"""	0.1822395495234676	"""CD127	_IL7R"""
274	"""588929"""	0.6440917464696326	"""CD273	_PDCD1LG2"""
275	"""569335"""	0.12717763700056164	"""VEGFR_family"""
276	"""1002005"""	0.10597918182649443	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
277	"""746799"""	0.03221136861099255	"""CD281	_TLR1"""
278	"""252045"""	0.4622353848193403	"""CD127	_IL7R"""
279	"""1084157"""	0.2510017035876025	"""IL6/12_receptor_family"""
280	"""869513"""	0.15455102791492514	"""IL6/12_receptor_family"""
281	"""446403"""	0.2599996214432244	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
282	"""1060441"""	0.054605280248937314	"""TNF_signaling_pathway"""
283	"""990864"""	0.1802669423373393	"""CD218b	_IL18RAP"""
284	"""791738"""	0.09397027470209728	"""TNF_signaling_pathway"""
285	"""579141"""	0.3559715093450194	"""Eukaryotes"""
286	"""246785"""	0.24967279739979825	"""CD223	_LAG3"""
287	"""4310396"""	0.3852739350405601	"""Adhesion_molecules_of_cell_surface"""
