#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
810672	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Candidatus Rhodoluna	s__	-0.058015499	0.055462854	-1.234671124	0.955005444	-0.473872307	2.367117498	-0.490558985
2469654	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__	1.411633257	1.096237438	3.001072757	-0.829174393	0.752549019	-3.732583668	-0.973730924
764838	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__	g__	s__	-0.763394747	1.224387186	1.585761897	-1.219323033	-0.359038356	0.546299431	-0.312783244
14159	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__	s__	-0.242390189	0.673018726	3.784619443	-1.336234444	-1.898794535	0.857836071	-0.718634012
288283	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__	-0.344934139	0.276285844	-1.189228066	-0.162433499	-0.162049416	-1.430269625	-0.642330768
548576	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__	s__							
973942	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Luteolibacter	s__	0.448042001	1.18238719	-0.459208556	-0.327107661	-0.544287923	0.7246258	-1.261605623
1106324	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__	s__	0.587467577	0.780527802	-1.94338239	0.504122323	-0.46811569	0.7524308	-1.269757154
1027587	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella	s__	0.971355107	-0.566810889	1.344474844	2.939117081	0.825711158	0.351682756	3.042569515
714766	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Moryella	s__	0.783196416	-0.381763501	1.595368616	-0.029430741	0.280912039	0.729490343	2.647824404
530206	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__	3.199652281	-0.678352399	-0.275351532	0.645691759	-0.771281245	-1.533522513	5.441819546
1105814	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__	-1.349294815	0.058101969	-0.543876417	-0.522702926	0.149843451	-0.479159978	0.092933652
4315529	k__Bacteria	p__OD1	c__ZB2	o__	f__	g__	s__	-1.351280842	0.780603634	-0.142567761	0.21433366	-0.375855807	0.603009674	0.103955028
551895	k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__	s__	-1.078669701	1.18615933	2.292704575	0.298360712	-0.056720141	-0.175634291	-0.076441291
2714267	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]	s__tannerae	2.31559613	-0.879558129	3.590073935	-3.204201811	0.917078045	-0.135336902	-1.50768173
783224	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__	-0.145755086	-0.511879725	-1.34813226	-1.518501871	-1.273267153	2.081419263	-0.762168649
369064	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Dermacoccaceae	g__Dermacoccus	s__	-0.815569077	0.589454437	-0.925758369	-1.420610779	0.503331122	1.095069978	-0.297229889
12297	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1.361670386	2.526025849	-2.337699302	2.605110056	-2.611183766	-4.708653596	-1.42649925
1106545	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__	0.049756016	-0.855171366	-1.543923982	0.868284292	-0.594849232	-0.684277918	-0.876194599
385507	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__	-0.678209458	0.975448119	-1.046338566	0.340753979	-0.937100056	1.568738702	-0.416575792
573976	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__	0.149044719	1.179381149	0.332022063	-0.085959428	-0.615885738	0.94136301	-1.008883598
545299	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__	0.230399456	-2.174486322	1.438032202	-1.186354511	-0.151514056	-0.887419369	-0.189164164
544313	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__	-0.321177039	0.328666555	-1.296618588	-0.089497321	-1.471947315	-1.993320372	-0.633318546
4455962	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Arcobacter	s__	-0.789503012	0.807563903	-0.995365508	-3.323438757	-0.557480934	-1.926184084	-0.37717593
4329788	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__	s__	0.13903841	0.632274834	0.403371066	-0.568601721	-1.66119397	-0.143612292	1.202300729
40351	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	0.277447667	1.402098911	-1.685019143	0.4140454	-0.852688673	0.652592752	-0.836741569
978664	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__	-0.029700909	1.883186059	-1.521460898	-2.237677925	-1.056883696	-3.282777932	-0.866324547
310003	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__	-0.596555863	0.315806376	-1.085357435	0.741385586	0.566501018	-0.489645865	-0.378275397
